ID,affairs,d_affairs,yearsmarried,rating,religiousness,age,,,,,,,,,,,,,,,,,,,,,,,,
267,0,0,4,5,5,27,,,,,,,,,,,,,,,,,,,,,,,,
269,0,0,10,4,4,27,,,,,,,,,,,,,,,,,,,,,,,,
271,0,0,4,5,1,22,,,,,,,,,,,,,,,,,,,,,,,,
274,3,1,15,4,4,42,,,,,,,,,,,,,,,,,,,,,,,,
275,7,1,10,3,4,27,,,,,,,,,,,,,,,,,,,,,,,,
277,0,0,15,1,4,37,,,,,,,,,,,,,,,,,,,,,,,,
287,1,1,1.5,2,2,27,,,,,,,,,,,,,,,,,,,,,,,,
288,1,1,4,4,4,32,,,,,,,,,,,,,,,,,,,,,,,,
290,0,0,1.5,4,5,22,,,,,,,,,,,,,,,,,,,,,,,,
292,0,0,15,5,4,37,,,,,,,,,,,,,,,,,,,,,,,,
293,0,0,0.75,4,4,27,,,,,,,,,,,,,,,,,,,,,,,,
295,0,0,10,4,4,32,,,,,,,,,,,,,,,,,,,,,,,,
299,0,0,15,2,5,47,,,,,,,,,,,,,,,,,,,,,,,,
320,0,0,10,4,3,37,,,,,,,,,,,,,,,,,,,,,,,,
321,0,0,0.75,5,2,22,,,,,,,,,,,,,,,,,,,,,,,,
324,0,0,4,5,2,27,,,,,,,,,,,,,,,,,,,,,,,,
325,1,1,7,3,3,27,,,,,,,,,,,,,,,,,,,,,,,,
328,3,1,10,4,4,32,,,,,,,,,,,,,,,,,,,,,,,,
334,0,0,7,4,4,32,,,,,,,,,,,,,,,,,,,,,,,,
344,3,1,4,2,2,27,,,,,,,,,,,,,,,,,,,,,,,,
351,0,0,15,5,2,42,,,,,,,,,,,,,,,,,,,,,,,,
353,1,1,0.75,5,5,17.5,,,,,,,,,,,,,,,,,,,,,,,,
354,1,1,10,5,4,32,,,,,,,,,,,,,,,,,,,,,,,,
355,0,0,10,4,4,37,,,,,,,,,,,,,,,,,,,,,,,,
361,0,0,15,5,3,47,,,,,,,,,,,,,,,,,,,,,,,,
362,0,0,1.5,5,5,22,,,,,,,,,,,,,,,,,,,,,,,,
366,0,0,1.5,4,2,27,,,,,,,,,,,,,,,,,,,,,,,,
367,7,1,7,4,2,32,,,,,,,,,,,,,,,,,,,,,,,,
369,7,1,15,4,2,37,,,,,,,,,,,,,,,,,,,,,,,,
370,0,0,4,5,3,27,,,,,,,,,,,,,,,,,,,,,,,,
374,0,0,10,5,5,32,,,,,,,,,,,,,,,,,,,,,,,,
378,0,0,0.125,5,2,22,,,,,,,,,,,,,,,,,,,,,,,,
381,0,0,15,3,4,47,,,,,,,,,,,,,,,,,,,,,,,,
382,0,0,15,5,1,32,,,,,,,,,,,,,,,,,,,,,,,,
383,0,0,7,5,4,27,,,,,,,,,,,,,,,,,,,,,,,,
384,0,0,1.5,5,3,22,,,,,,,,,,,,,,,,,,,,,,,,
390,7,1,10,3,1,37,,,,,,,,,,,,,,,,,,,,,,,,
392,12,1,10,5,2,32,,,,,,,,,,,,,,,,,,,,,,,,
400,0,0,4,5,3,27,,,,,,,,,,,,,,,,,,,,,,,,
403,0,0,1.5,5,3,22,,,,,,,,,,,,,,,,,,,,,,,,
409,0,0,15,2,2,57,,,,,,,,,,,,,,,,,,,,,,,,
412,0,0,1.5,5,3,17.5,,,,,,,,,,,,,,,,,,,,,,,,
413,0,0,15,5,4,57,,,,,,,,,,,,,,,,,,,,,,,,
416,0,0,0.75,4,2,22,,,,,,,,,,,,,,,,,,,,,,,,
418,0,0,4,3,4,42,,,,,,,,,,,,,,,,,,,,,,,,
422,0,0,1.5,5,4,22,,,,,,,,,,,,,,,,,,,,,,,,
423,7,1,15,4,2,52,,,,,,,,,,,,,,,,,,,,,,,,
432,7,1,15,3,1,42,,,,,,,,,,,,,,,,,,,,,,,,
435,0,0,0.417,4,1,22,,,,,,,,,,,,,,,,,,,,,,,,
436,1,1,15,3,2,52,,,,,,,,,,,,,,,,,,,,,,,,
439,0,0,15,5,4,32,,,,,,,,,,,,,,,,,,,,,,,,
445,0,0,1.5,2,3,27,,,,,,,,,,,,,,,,,,,,,,,,
447,0,0,1.5,5,3,22,,,,,,,,,,,,,,,,,,,,,,,,
448,0,0,15,4,3,37,,,,,,,,,,,,,,,,,,,,,,,,
449,0,0,15,4,4,32,,,,,,,,,,,,,,,,,,,,,,,,
478,0,0,10,3,2,37,,,,,,,,,,,,,,,,,,,,,,,,
482,0,0,10,4,4,37,,,,,,,,,,,,,,,,,,,,,,,,
483,2,1,15,5,3,37,,,,,,,,,,,,,,,,,,,,,,,,
486,0,0,15,3,5,57,,,,,,,,,,,,,,,,,,,,,,,,
489,0,0,0.417,4,1,27,,,,,,,,,,,,,,,,,,,,,,,,
490,0,0,15,5,5,42,,,,,,,,,,,,,,,,,,,,,,,,
491,0,0,15,1,3,57,,,,,,,,,,,,,,,,,,,,,,,,
492,0,0,10,4,1,37,,,,,,,,,,,,,,,,,,,,,,,,
503,0,0,15,5,3,37,,,,,,,,,,,,,,,,,,,,,,,,
508,0,0,15,5,4,37,,,,,,,,,,,,,,,,,,,,,,,,
509,0,0,10,5,5,27,,,,,,,,,,,,,,,,,,,,,,,,
512,0,0,10,4,2,37,,,,,,,,,,,,,,,,,,,,,,,,
513,12,1,4,4,3,22,,,,,,,,,,,,,,,,,,,,,,,,
515,0,0,0.125,5,4,22,,,,,,,,,,,,,,,,,,,,,,,,
516,12,1,7,2,1,27,,,,,,,,,,,,,,,,,,,,,,,,
517,0,0,15,5,5,57,,,,,,,,,,,,,,,,,,,,,,,,
518,1,1,4,5,3,27,,,,,,,,,,,,,,,,,,,,,,,,
520,12,1,15,5,4,47,,,,,,,,,,,,,,,,,,,,,,,,
526,12,1,15,1,4,42,,,,,,,,,,,,,,,,,,,,,,,,
528,7,1,4,4,3,27,,,,,,,,,,,,,,,,,,,,,,,,
532,0,0,15,4,4,37,,,,,,,,,,,,,,,,,,,,,,,,
533,0,0,4,4,4,22,,,,,,,,,,,,,,,,,,,,,,,,
535,0,0,7,4,4,27,,,,,,,,,,,,,,,,,,,,,,,,
537,0,0,15,4,4,57,,,,,,,,,,,,,,,,,,,,,,,,
538,0,0,15,3,3,32,,,,,,,,,,,,,,,,,,,,,,,,
543,0,0,1.5,4,2,22,,,,,,,,,,,,,,,,,,,,,,,,
547,0,0,7,5,4,32,,,,,,,,,,,,,,,,,,,,,,,,
550,0,0,15,5,4,37,,,,,,,,,,,,,,,,,,,,,,,,
553,7,1,7,5,4,32,,,,,,,,,,,,,,,,,,,,,,,,
558,0,0,1.5,5,5,32,,,,,,,,,,,,,,,,,,,,,,,,
571,0,0,10,4,5,42,,,,,,,,,,,,,,,,,,,,,,,,
576,1,1,0.417,4,3,32,,,,,,,,,,,,,,,,,,,,,,,,
578,0,0,7,4,3,27,,,,,,,,,,,,,,,,,,,,,,,,
583,0,0,15,5,4,37,,,,,,,,,,,,,,,,,,,,,,,,
586,0,0,15,2,4,37,,,,,,,,,,,,,,,,,,,,,,,,
594,0,0,10,4,5,32,,,,,,,,,,,,,,,,,,,,,,,,
597,0,0,0.75,5,4,22,,,,,,,,,,,,,,,,,,,,,,,,
602,0,0,7,4,4,27,,,,,,,,,,,,,,,,,,,,,,,,
603,0,0,7,5,2,27,,,,,,,,,,,,,,,,,,,,,,,,
604,0,0,15,4,5,42,,,,,,,,,,,,,,,,,,,,,,,,
611,3,1,15,4,5,47,,,,,,,,,,,,,,,,,,,,,,,,
612,0,0,15,3,4,42,,,,,,,,,,,,,,,,,,,,,,,,
613,0,0,7,2,2,27,,,,,,,,,,,,,,,,,,,,,,,,
621,0,0,1.5,5,3,22,,,,,,,,,,,,,,,,,,,,,,,,
625,12,1,15,4,2,37,,,,,,,,,,,,,,,,,,,,,,,,
627,0,0,15,5,5,37,,,,,,,,,,,,,,,,,,,,,,,,
630,0,0,0.125,5,2,22,,,,,,,,,,,,,,,,,,,,,,,,
631,0,0,1.5,5,4,27,,,,,,,,,,,,,,,,,,,,,,,,
632,0,0,1.5,5,2,32,,,,,,,,,,,,,,,,,,,,,,,,
635,7,1,4,4,2,22,,,,,,,,,,,,,,,,,,,,,,,,
639,0,0,1.5,5,2,27,,,,,,,,,,,,,,,,,,,,,,,,
645,0,0,10,3,4,27,,,,,,,,,,,,,,,,,,,,,,,,
646,1,1,4,5,2,27,,,,,,,,,,,,,,,,,,,,,,,,
647,0,0,15,5,4,42,,,,,,,,,,,,,,,,,,,,,,,,
648,0,0,1.5,5,2,27,,,,,,,,,,,,,,,,,,,,,,,,
651,0,0,4,3,2,27,,,,,,,,,,,,,,,,,,,,,,,,
655,0,0,10,3,3,32,,,,,,,,,,,,,,,,,,,,,,,,
657,7,1,15,3,5,52,,,,,,,,,,,,,,,,,,,,,,,,
659,1,1,4,3,3,27,,,,,,,,,,,,,,,,,,,,,,,,
666,1,1,10,4,4,27,,,,,,,,,,,,,,,,,,,,,,,,
667,0,0,15,4,3,32,,,,,,,,,,,,,,,,,,,,,,,,
670,0,0,0.75,5,2,22,,,,,,,,,,,,,,,,,,,,,,,,
671,0,0,15,4,2,37,,,,,,,,,,,,,,,,,,,,,,,,
673,0,0,4,5,4,27,,,,,,,,,,,,,,,,,,,,,,,,
679,1,1,7,4,3,32,,,,,,,,,,,,,,,,,,,,,,,,
701,0,0,4,4,1,27,,,,,,,,,,,,,,,,,,,,,,,,
705,0,0,10,4,2,27,,,,,,,,,,,,,,,,,,,,,,,,
706,0,0,15,4,5,32,,,,,,,,,,,,,,,,,,,,,,,,
709,0,0,7,3,5,27,,,,,,,,,,,,,,,,,,,,,,,,
717,0,0,15,4,2,52,,,,,,,,,,,,,,,,,,,,,,,,
719,0,0,4,3,3,27,,,,,,,,,,,,,,,,,,,,,,,,
723,0,0,4,4,1,37,,,,,,,,,,,,,,,,,,,,,,,,
724,0,0,4,4,4,27,,,,,,,,,,,,,,,,,,,,,,,,
726,0,0,15,3,5,52,,,,,,,,,,,,,,,,,,,,,,,,
729,7,1,7,1,2,32,,,,,,,,,,,,,,,,,,,,,,,,
734,0,0,15,4,4,57,,,,,,,,,,,,,,,,,,,,,,,,
735,0,0,7,4,1,27,,,,,,,,,,,,,,,,,,,,,,,,
736,0,0,7,3,4,37,,,,,,,,,,,,,,,,,,,,,,,,
737,0,0,0.75,3,2,22,,,,,,,,,,,,,,,,,,,,,,,,
739,0,0,4,3,2,32,,,,,,,,,,,,,,,,,,,,,,,,
743,0,0,15,3,4,37,,,,,,,,,,,,,,,,,,,,,,,,
745,0,0,0.75,3,2,22,,,,,,,,,,,,,,,,,,,,,,,,
747,0,0,15,3,4,42,,,,,,,,,,,,,,,,,,,,,,,,
751,0,0,15,1,5,52,,,,,,,,,,,,,,,,,,,,,,,,
752,0,0,15,2,4,37,,,,,,,,,,,,,,,,,,,,,,,,
754,0,0,7,3,4,27,,,,,,,,,,,,,,,,,,,,,,,,
755,3,1,1.5,2,1,22,,,,,,,,,,,,,,,,,,,,,,,,
758,7,1,4,4,3,22,,,,,,,,,,,,,,,,,,,,,,,,
760,0,0,4,5,2,32,,,,,,,,,,,,,,,,,,,,,,,,
763,0,0,4,5,2,27,,,,,,,,,,,,,,,,,,,,,,,,
770,7,1,15,4,4,42,,,,,,,,,,,,,,,,,,,,,,,,
774,0,0,4,5,2,27,,,,,,,,,,,,,,,,,,,,,,,,
776,0,0,15,5,5,37,,,,,,,,,,,,,,,,,,,,,,,,
779,0,0,15,4,5,47,,,,,,,,,,,,,,,,,,,,,,,,
784,0,0,10,4,3,32,,,,,,,,,,,,,,,,,,,,,,,,
786,2,1,15,4,1,57,,,,,,,,,,,,,,,,,,,,,,,,
788,0,0,1.5,2,4,27,,,,,,,,,,,,,,,,,,,,,,,,
794,0,0,15,2,2,57,,,,,,,,,,,,,,,,,,,,,,,,
795,0,0,1.5,4,4,22,,,,,,,,,,,,,,,,,,,,,,,,
797,7,1,4,2,3,32,,,,,,,,,,,,,,,,,,,,,,,,
798,0,0,15,4,3,42,,,,,,,,,,,,,,,,,,,,,,,,
800,0,0,15,2,4,57,,,,,,,,,,,,,,,,,,,,,,,,
803,0,0,15,5,4,57,,,,,,,,,,,,,,,,,,,,,,,,
807,0,0,0.125,5,4,22,,,,,,,,,,,,,,,,,,,,,,,,
811,1,1,4,4,1,27,,,,,,,,,,,,,,,,,,,,,,,,
812,0,0,10,5,4,32,,,,,,,,,,,,,,,,,,,,,,,,
820,0,0,15,4,3,42,,,,,,,,,,,,,,,,,,,,,,,,
823,0,0,1.5,5,2,27,,,,,,,,,,,,,,,,,,,,,,,,
830,0,0,0.125,2,2,32,,,,,,,,,,,,,,,,,,,,,,,,
834,7,1,7,4,4,32,,,,,,,,,,,,,,,,,,,,,,,,
843,0,0,4,4,3,27,,,,,,,,,,,,,,,,,,,,,,,,
848,0,0,10,4,2,27,,,,,,,,,,,,,,,,,,,,,,,,
851,0,0,7,3,4,32,,,,,,,,,,,,,,,,,,,,,,,,
854,0,0,15,4,4,37,,,,,,,,,,,,,,,,,,,,,,,,
856,0,0,15,2,5,42,,,,,,,,,,,,,,,,,,,,,,,,
857,0,0,1.5,5,4,32,,,,,,,,,,,,,,,,,,,,,,,,
858,2,1,15,4,1,57,,,,,,,,,,,,,,,,,,,,,,,,
859,0,0,4,3,3,32,,,,,,,,,,,,,,,,,,,,,,,,
863,0,0,7,5,4,37,,,,,,,,,,,,,,,,,,,,,,,,
865,0,0,0.417,5,3,22,,,,,,,,,,,,,,,,,,,,,,,,
867,0,0,7,5,4,27,,,,,,,,,,,,,,,,,,,,,,,,
870,0,0,0.75,5,3,27,,,,,,,,,,,,,,,,,,,,,,,,
873,0,0,4,5,2,27,,,,,,,,,,,,,,,,,,,,,,,,
875,0,0,10,5,4,32,,,,,,,,,,,,,,,,,,,,,,,,
876,0,0,15,5,1,32,,,,,,,,,,,,,,,,,,,,,,,,
877,0,0,0.75,5,3,22,,,,,,,,,,,,,,,,,,,,,,,,
880,0,0,7,4,4,27,,,,,,,,,,,,,,,,,,,,,,,,
885,7,1,15,2,4,42,,,,,,,,,,,,,,,,,,,,,,,,
893,7,1,10,3,1,37,,,,,,,,,,,,,,,,,,,,,,,,
903,0,0,0.417,4,4,27,,,,,,,,,,,,,,,,,,,,,,,,
904,0,0,15,4,4,37,,,,,,,,,,,,,,,,,,,,,,,,
905,0,0,15,3,2,37,,,,,,,,,,,,,,,,,,,,,,,,
908,0,0,4,4,1,22,,,,,,,,,,,,,,,,,,,,,,,,
909,0,0,15,3,4,37,,,,,,,,,,,,,,,,,,,,,,,,
910,0,0,1.5,5,2,22,,,,,,,,,,,,,,,,,,,,,,,,
912,0,0,15,2,4,52,,,,,,,,,,,,,,,,,,,,,,,,
914,0,0,1.5,5,4,22,,,,,,,,,,,,,,,,,,,,,,,,
915,0,0,4,5,5,32,,,,,,,,,,,,,,,,,,,,,,,,
916,0,0,4,5,2,32,,,,,,,,,,,,,,,,,,,,,,,,
920,0,0,1.5,5,3,22,,,,,,,,,,,,,,,,,,,,,,,,
921,0,0,0.75,3,2,27,,,,,,,,,,,,,,,,,,,,,,,,
925,0,0,7,2,2,22,,,,,,,,,,,,,,,,,,,,,,,,
926,0,0,0.75,3,2,27,,,,,,,,,,,,,,,,,,,,,,,,
927,3,1,15,1,3,42,,,,,,,,,,,,,,,,,,,,,,,,
928,1,1,15,4,3,52,,,,,,,,,,,,,,,,,,,,,,,,
929,0,0,15,2,4,37,,,,,,,,,,,,,,,,,,,,,,,,
931,0,0,1.5,5,1,22,,,,,,,,,,,,,,,,,,,,,,,,
933,2,1,7,3,3,27,,,,,,,,,,,,,,,,,,,,,,,,
945,0,0,10,4,2,37,,,,,,,,,,,,,,,,,,,,,,,,
947,0,0,15,3,4,37,,,,,,,,,,,,,,,,,,,,,,,,
949,0,0,15,3,3,42,,,,,,,,,,,,,,,,,,,,,,,,
950,0,0,4,5,2,22,,,,,,,,,,,,,,,,,,,,,,,,
951,12,1,7,2,2,32,,,,,,,,,,,,,,,,,,,,,,,,
961,0,0,7,2,2,52,,,,,,,,,,,,,,,,,,,,,,,,
965,0,0,0.75,5,2,27,,,,,,,,,,,,,,,,,,,,,,,,
966,0,0,4,5,2,27,,,,,,,,,,,,,,,,,,,,,,,,
967,0,0,1.5,5,5,42,,,,,,,,,,,,,,,,,,,,,,,,
968,1,1,4,5,4,22,,,,,,,,,,,,,,,,,,,,,,,,
972,3,1,7,4,3,27,,,,,,,,,,,,,,,,,,,,,,,,
975,12,1,15,5,1,37,,,,,,,,,,,,,,,,,,,,,,,,
977,7,1,15,3,3,32,,,,,,,,,,,,,,,,,,,,,,,,
981,7,1,7,5,2,27,,,,,,,,,,,,,,,,,,,,,,,,
986,1,1,7,3,3,32,,,,,,,,,,,,,,,,,,,,,,,,
987,0,0,1.5,5,4,22,,,,,,,,,,,,,,,,,,,,,,,,
990,0,0,4,3,4,22,,,,,,,,,,,,,,,,,,,,,,,,
992,0,0,4,4,1,22,,,,,,,,,,,,,,,,,,,,,,,,
995,0,0,15,5,5,37,,,,,,,,,,,,,,,,,,,,,,,,
1002,1,1,1.5,4,2,32,,,,,,,,,,,,,,,,,,,,,,,,
1007,12,1,15,2,4,42,,,,,,,,,,,,,,,,,,,,,,,,
1009,0,0,10,3,3,37,,,,,,,,,,,,,,,,,,,,,,,,
1011,7,1,10,4,3,32,,,,,,,,,,,,,,,,,,,,,,,,
1021,0,0,15,5,4,42,,,,,,,,,,,,,,,,,,,,,,,,
1026,0,0,15,5,4,47,,,,,,,,,,,,,,,,,,,,,,,,
1027,0,0,1.5,4,4,22,,,,,,,,,,,,,,,,,,,,,,,,
1030,0,0,10,4,3,32,,,,,,,,,,,,,,,,,,,,,,,,
1031,0,0,7,5,1,22,,,,,,,,,,,,,,,,,,,,,,,,
1034,0,0,10,4,4,32,,,,,,,,,,,,,,,,,,,,,,,,
1035,7,1,4,3,1,37,,,,,,,,,,,,,,,,,,,,,,,,
1037,0,0,1.5,4,2,27,,,,,,,,,,,,,,,,,,,,,,,,
1038,0,0,15,5,4,37,,,,,,,,,,,,,,,,,,,,,,,,
1039,0,0,4,5,3,42,,,,,,,,,,,,,,,,,,,,,,,,
1045,0,0,15,4,5,37,,,,,,,,,,,,,,,,,,,,,,,,
1046,0,0,7,5,4,32,,,,,,,,,,,,,,,,,,,,,,,,
1050,1,1,4,3,2,27,,,,,,,,,,,,,,,,,,,,,,,,
1054,0,0,15,5,4,42,,,,,,,,,,,,,,,,,,,,,,,,
1056,12,1,15,3,3,42,,,,,,,,,,,,,,,,,,,,,,,,
1057,1,1,10,5,5,27,,,,,,,,,,,,,,,,,,,,,,,,
1059,0,0,4,4,4,27,,,,,,,,,,,,,,,,,,,,,,,,
1063,0,0,0.75,5,4,22,,,,,,,,,,,,,,,,,,,,,,,,
1068,0,0,4,3,4,27,,,,,,,,,,,,,,,,,,,,,,,,
1070,0,0,0.75,5,5,22,,,,,,,,,,,,,,,,,,,,,,,,
1072,0,0,15,5,5,52,,,,,,,,,,,,,,,,,,,,,,,,
1073,0,0,10,5,3,32,,,,,,,,,,,,,,,,,,,,,,,,
1075,12,1,10,2,2,37,,,,,,,,,,,,,,,,,,,,,,,,
1077,0,0,15,4,4,37,,,,,,,,,,,,,,,,,,,,,,,,
1080,12,1,7,3,1,27,,,,,,,,,,,,,,,,,,,,,,,,
1081,0,0,7,4,2,32,,,,,,,,,,,,,,,,,,,,,,,,
1083,0,0,15,4,3,42,,,,,,,,,,,,,,,,,,,,,,,,
1084,0,0,15,5,1,32,,,,,,,,,,,,,,,,,,,,,,,,
1086,0,0,4,5,3,27,,,,,,,,,,,,,,,,,,,,,,,,
1087,0,0,15,4,4,32,,,,,,,,,,,,,,,,,,,,,,,,
1089,0,0,0.75,4,3,22,,,,,,,,,,,,,,,,,,,,,,,,
1096,0,0,1.5,3,3,22,,,,,,,,,,,,,,,,,,,,,,,,
1102,0,0,15,5,4,42,,,,,,,,,,,,,,,,,,,,,,,,
1103,0,0,15,4,3,52,,,,,,,,,,,,,,,,,,,,,,,,
1107,0,0,15,4,5,37,,,,,,,,,,,,,,,,,,,,,,,,
1109,0,0,15,3,4,47,,,,,,,,,,,,,,,,,,,,,,,,
1115,0,0,15,4,2,57,,,,,,,,,,,,,,,,,,,,,,,,
1119,0,0,7,5,4,32,,,,,,,,,,,,,,,,,,,,,,,,
1124,0,0,7,4,4,27,,,,,,,,,,,,,,,,,,,,,,,,
1125,3,1,7,2,4,27,,,,,,,,,,,,,,,,,,,,,,,,
1126,0,0,1.5,5,1,22,,,,,,,,,,,,,,,,,,,,,,,,
1128,0,0,4,4,3,22,,,,,,,,,,,,,,,,,,,,,,,,
1129,0,0,1.5,5,2,22,,,,,,,,,,,,,,,,,,,,,,,,
1130,0,0,15,4,2,42,,,,,,,,,,,,,,,,,,,,,,,,
1131,3,1,10,4,2,32,,,,,,,,,,,,,,,,,,,,,,,,
1133,0,0,15,4,4,57,,,,,,,,,,,,,,,,,,,,,,,,
1138,12,1,0.75,3,2,17.5,,,,,,,,,,,,,,,,,,,,,,,,
1140,0,0,7,5,2,27,,,,,,,,,,,,,,,,,,,,,,,,
1143,0,0,4,5,3,22,,,,,,,,,,,,,,,,,,,,,,,,
1146,0,0,15,3,4,37,,,,,,,,,,,,,,,,,,,,,,,,
1150,12,1,15,4,3,32,,,,,,,,,,,,,,,,,,,,,,,,
1153,0,0,7,4,1,32,,,,,,,,,,,,,,,,,,,,,,,,
1156,0,0,1.5,5,2,22,,,,,,,,,,,,,,,,,,,,,,,,
1157,0,0,1.5,3,3,22,,,,,,,,,,,,,,,,,,,,,,,,
1158,0,0,15,5,2,52,,,,,,,,,,,,,,,,,,,,,,,,
1160,0,0,15,1,2,37,,,,,,,,,,,,,,,,,,,,,,,,
1161,0,0,10,5,2,32,,,,,,,,,,,,,,,,,,,,,,,,
