Country,Region,Year,Infant_deaths,Under_five_deaths,Adult_mortality,Hepatitis_B,Polio,Incidents_HIV,Population_mln,Thinness_ten_nineteen_years,Thinness_five_nine_years,Economy_status_Developed,Economy_status_Developing,,Schooling,Measles,Diphtheria,GDP_per_capita,BMI,Alcohol_consumption,Life_expectancy
Cambodia,Asia,2015,27.3,31.8,175.654,89,92,0.1,15.52,1.9,1.9,0,1,,4.7,61,89,1163,22.1,3.34,68.6
Cameroon,Africa,2015,57,88,340.1265,84,77,1.12,23.3,5.6,5.5,0,1,,6.1,64,84,1383,24.3,4.55,57.6
Canada,North America,2015,4.7,5.4,65.9695,55,91,0.1,35.7,0.6,0.5,1,0,,13.1,86,91,43596,26.9,8,81.9
Central African Republic,Africa,2015,87.9,123.3,411.0745,47,51,1.12,4.49,8.2,8.2,0,1,,4.2,64,47,377,22.8,0.9,50.9
Chad,Africa,2015,75.7,128.7,363.167,46,52,0.42,14.11,8.5,8.4,0,1,,2.3,64,46,776,21.9,0.66,53.1
Chile,South America,2015,6.7,7.9,88.8665,97,96,0.19,17.97,0.8,0.8,0,1,,10.3,89,96,13495,27.9,7.89,79.6
China,Asia,2015,8.3,10.7,82.273,99,99,0.1,1379.86,3.6,2.9,0,1,,7.7,99,99,8016,23.7,5.66,75.9
Colombia,South America,2015,13.4,15.5,140.0675,91,91,0.19,47.52,2.1,1.9,0,1,,8.1,86,91,6176,26.1,4.16,76.5
Comoros,Africa,2015,54.4,72.3,227.2735,91,92,0.01,0.78,6.7,6.5,0,1,,4.8,64,91,1243,24.3,0.14,63.5
"Congo, Dem. Rep.",Africa,2015,73,95.9,260.0235,81,78,0.35,76.24,9.5,9.3,0,1,,6.4,64,81,497,21.9,4.47,59.3
"Congo, Rep.",Africa,2015,37.6,52.6,262.224,80,80,2.04,4.86,7.5,7.1,0,1,,6.3,64,80,2449,23.1,2.05,63.1
Costa Rica,Central America and Caribbean,2015,7.7,9.1,85.6715,92,92,0.19,4.85,1.7,1.7,0,1,,8.8,90,92,11643,27.3,3.19,79.6
Cote d'Ivoire,Africa,2015,65.7,90.8,396.458,83,81,0.63,23.23,5.5,5.5,0,1,,5,64,83,1973,23.7,1.54,56.1
Croatia,European Union,2015,4.2,4.9,90.2285,94,94,0.02,4.2,1.5,1.4,1,0,,11.2,96,94,11933,27.3,9.64,77.3
Cuba,Central America and Caribbean,2015,4.5,5.7,89.2395,99,99,0.16,11.32,3.5,3.3,0,1,,11.4,99,99,7694,25.6,4.65,78.6
Cyprus,European Union,2015,2.4,2.9,51.6435,97,97,0.06,1.16,1,1,1,0,,11.9,88,97,23408,26.8,9.59,80.4
Czechia,European Union,2015,2.5,3.2,82.5385,97,97,0.08,10.55,1.8,1.8,1,0,,12.7,99,97,17830,27,12.76,78.6
Denmark,European Union,2015,3.5,4.1,67.171,88,93,0.03,5.68,1.1,0.9,1,0,,12.5,80,93,53255,25.3,9.42,80.7
Djibouti,Africa,2015,54.6,65.8,251.749,84,84,0.22,0.91,5.6,5.4,0,1,,4.1,82,84,2653,24,0.32,64.1
Dominican Republic,Central America and Caribbean,2015,28.8,35,161.617,81,87,0.38,10.28,3.3,3.2,0,1,,7.8,83,85,6922,26.4,5.39,73.2
Ecuador,South America,2015,13.2,15.4,123.906,78,84,0.16,16.21,1.2,1.1,0,1,,8.4,76,78,6124,27.1,3.69,76.1
"Egypt, Arab Rep.",Africa,2015,19.8,23.3,149.529,93,93,0.13,92.44,2.8,2.8,0,1,,7.1,64,93,3563,29.5,0.18,71.3
El Salvador,Central America and Caribbean,2015,13.3,15.5,182.1595,91,92,0.18,6.33,1.6,1.5,0,1,,6.6,88,91,3706,27.6,2.54,72.4
Equatorial Guinea,Africa,2015,67.6,93.2,328.8035,40,37,4.2,1.17,8.4,8.3,0,1,,5.5,64,16,11283,23.9,8.11,57.4
Eritrea,Africa,2015,34,46.3,255.781,95,95,0.1,0.35,8.4,8.2,0,1,,3.9,88,95,9011,20.7,1.03,64.7
Estonia,European Union,2015,2.4,3.1,116.351,91,93,0.08,1.32,1.9,1.9,1,0,,12.7,92,93,17402,26.4,16.72,77.6
Eswatini,Africa,2015,45.2,57.2,434.821,90,84,14.3,1.1,4,4.1,0,1,,6.5,83,90,3680,26.8,7.49,55.4
Ethiopia,Africa,2015,43.2,62.4,224.423,77,75,0.19,100.84,1.4,1.2,0,1,,2.6,64,77,641,20.5,0.76,65
Fiji,Oceania,2015,20.6,24.4,185.858,99,99,0.12,0.87,4,3.7,0,1,,10.8,94,99,5391,27.6,2.63,67.1
Finland,European Union,2015,2,2.5,68.8685,88,97,0.08,5.48,0.9,0.8,1,0,,12.4,92,97,42802,25.9,8.52,81.5
France,European Union,2015,3.2,4.2,75.4835,86,97,0.09,66.55,0.7,0.6,1,0,,11.5,79,98,36653,25,11.87,82.3
Gabon,Africa,2015,36.1,50.3,238.5125,80,79,1.09,1.95,6.1,5.9,0,1,,8.1,64,80,7385,25.2,8.06,64.9
"Gambia, The",Africa,2015,39.7,59.8,261.7065,97,96,0.96,2.09,7.3,7.2,0,1,,3.4,64,97,661,23.9,2.69,60.9
Georgia,Rest of Europe,2015,9.4,10.5,156.2355,94,91,0.14,3.73,2.7,2.8,0,1,,12.7,91,94,4014,27.5,6.95,73
Germany,European Union,2015,3.3,3.9,71.312,88,92,0.03,81.69,1.1,1.1,1,0,,14.1,93,95,41103,26.5,11.06,80.6
Ghana,Africa,2015,38.8,54.6,244.6325,88,88,0.84,27.85,6.2,6.1,0,1,,6.9,63,88,1774,23.9,1.75,62.8
Greece,European Union,2015,3.8,4.4,70.7555,96,99,0.06,10.82,0.8,0.7,1,0,,10.6,83,99,18084,27.1,6.68,81
Grenada,Central America and Caribbean,2015,14.3,16.2,141.3,92,99,0.4,0.11,3.8,3.8,0,1,,8.7,89,92,9097,26.9,8.2,72.4
Guatemala,Central America and Caribbean,2015,23.7,28.3,163.8125,74,69,0.03,15.57,1.2,1.2,0,1,,6.3,83,74,3995,26.5,1.65,73.3
Guinea,Africa,2015,68.4,107.3,262.871,54,47,0.74,11.43,7.3,7.3,0,1,,2.6,64,54,769,22.9,0.38,59.6
Guinea-Bissau,Africa,2015,60,92.1,270.2885,87,83,1.58,1.74,7.1,7,0,1,,2.9,64,87,603,23.4,3.13,57
Guyana,South America,2015,27.4,33.1,209.372,95,92,0.59,0.77,5.5,5.3,0,1,,8.4,95,95,5577,26.3,5.48,69.3
Haiti,Central America and Caribbean,2015,52.8,69.9,243.6235,64,64,0.67,10.7,3.9,3.9,0,1,,5.2,83,60,1387,25.2,2.78,62.5
Honduras,Central America and Caribbean,2015,16.5,19.2,146.5195,97,98,0.07,9.11,2.1,2.1,0,1,,6.3,83,97,2302,26.7,2.49,74.5
Hungary,European Union,2015,4.2,5.1,131.7765,88,99,0.08,9.84,1.6,1.6,1,0,,11.8,99,99,12721,27.2,10.95,75.6
Iceland,Rest of Europe,2015,1.8,2.3,55.359,88,92,0.05,0.33,1,0.9,1,0,,12.2,94,92,52952,26.2,7.66,82.5
India,Asia,2015,34.9,43.5,177.9465,87,86,0.06,1310.15,26.7,27.3,0,1,,6.3,69,87,1606,21.7,3,68.6
Indonesia,Asia,2015,23.2,27.7,175.564,78,85,0.15,258.38,1.4,1.2,0,1,,7.9,31,78,3332,23,0.08,70.8
"Iran, Islamic Rep.",Middle East,2015,13.3,15.5,81.8615,98,98,0.04,78.49,8.5,8.6,0,1,,9.8,65,98,5201,26.1,0.01,75.8
Iraq,Middle East,2015,24.8,29.7,162.9175,56,72,0.13,35.57,5.3,5.1,0,1,,6.6,76,58,4688,28.6,0.16,69.9
Ireland,European Union,2015,3.2,3.7,61.0195,95,95,0.07,4.7,0.3,0.2,1,0,,12.3,86,95,62012,27.4,10.81,81.5
Israel,Middle East,2015,3.2,3.9,56.337,96,95,0.08,8.38,1.2,1.1,1,0,,13,97,95,35808,27.2,2.74,82.1
Italy,European Union,2015,3,3.5,52.9595,93,93,0.06,60.73,0.6,0.6,1,0,,10.2,83,93,30242,25.6,7.14,82.5
Jamaica,Central America and Caribbean,2015,13.4,15.5,132.2455,91,91,0.47,2.89,1.8,1.7,0,1,,9.6,83,91,4908,27.6,3.27,74.1
Japan,Asia,2015,2,2.7,53.586,83,99,0.17,127.14,2.1,1.8,1,0,,12.5,93,96,34961,22.7,8.55,83.8
Jordan,Middle East,2015,15,17.5,109.942,99,99,0.13,9.27,4,4,0,1,,10.3,96,99,4164,28.9,0.3,74.1
Kazakhstan,Asia,2015,10.6,11.9,182.111,98,98,0.14,17.54,2.4,2.5,0,1,,11.7,98,98,10511,26.3,3.33,72
Kenya,Africa,2015,35.2,48.9,223.608,89,83,1.15,47.88,7.8,7.6,0,1,,6.3,28,89,1465,23.3,1.65,64.8
Kiribati,Oceania,2015,44.7,57.6,198.449,82,80,0.17,0.11,0.1,0.1,0,1,,7.9,76,78,1535,30,0.35,67.3
Kuwait,Middle East,2015,7.5,8.8,58.1365,99,99,0.13,3.84,3.5,3.4,0,1,,7.1,96,99,29870,29.5,0,75.1
Kyrgyz Republic,Asia,2015,19.9,22.3,165.7935,97,97,0.12,5.96,3.3,3.4,0,1,,10.8,65,97,1121,26.5,5.37,70.7
Lao PDR,Asia,2015,42.1,53.8,195.625,89,89,0.15,6.74,8.8,8.9,0,1,,5.1,65,89,2140,22.8,7.09,66.5
Latvia,European Union,2015,4.3,5,160.237,94,94,0.29,1.98,2.2,2.1,1,0,,12.8,92,95,13786,26.6,10.8,74.5
Lebanon,Middle East,2015,7.1,8.3,60.3175,81,81,0.04,6.53,4.9,4.9,0,1,,8.5,63,81,7643,27.5,1.15,78.8
Lesotho,Africa,2015,72.6,94.6,513.4755,93,85,10,2.06,5.5,5.3,0,1,,6.1,82,93,1146,24.9,3.07,51
Liberia,Africa,2015,64.4,88.3,241.0125,52,65,3.5,4.47,6.5,6.4,0,1,,4.4,64,52,722,24,3.18,62.3
Libya,Africa,2015,11.4,13.3,134.7895,97,97,0.08,6.42,5.8,5.5,0,1,,7.3,97,97,7590,28,0.01,72.1
Lithuania,European Union,2015,4,4.9,165.233,94,93,0.09,2.9,2.6,2.6,1,0,,13,92,93,14264,26.4,14.2,74.3
Luxembourg,European Union,2015,2.3,2.8,54.393,94,99,0.1,0.57,1,0.9,1,0,,12,86,99,105462,26.3,11.37,82.3
Madagascar,Africa,2015,41.3,59,218.4575,69,68,0.24,24.23,7.1,7.1,0,1,,6.1,64,69,467,21.3,0.86,65.5
Malawi,Africa,2015,36.7,53.3,294.858,88,88,2.59,16.75,6.4,6.2,0,1,,4.4,64,88,381,22.8,2.04,62
Malaysia,Asia,2015,6.9,8.1,121.723,99,99,0.14,30.27,7.5,7.3,0,1,,10.2,99,99,9955,25.6,0.55,75.5
Maldives,Asia,2015,8.4,9.8,68.362,99,99,0.17,0.45,13.6,13.6,0,1,,6.3,99,99,9033,25.3,1.26,77.7
Mali,Africa,2015,66.8,108.3,267.5905,64,67,0.39,17.44,7.7,7.5,0,1,,2.3,64,64,751,22.9,0.62,57.5
Malta,European Union,2015,5.7,6.6,51.8135,95,97,0.08,0.45,0.8,0.8,1,0,,11.2,91,97,24922,27.1,7.37,81.9
Mauritania,Africa,2015,55,82.7,203.5835,73,67,0.15,4.05,7.8,7.5,0,1,,4.3,64,73,1524,24.9,0,63.9
Mauritius,Africa,2015,12.8,14.5,144.3615,97,98,0.7,1.26,6.9,6.8,0,1,,9.1,96,97,9260,25.2,2.83,74.4
Mexico,North America,2015,13.9,16.2,110.8405,82,87,0.16,121.86,1.5,1.5,0,1,,8.6,96,87,9617,27.9,4.24,74.9
"Micronesia, Fed. Sts.",Oceania,2015,24.2,28.9,164.871,78,71,0.17,0.11,0.2,0.2,0,1,,8,65,72,2907,29.6,1.59,67.3
Moldova,Rest of Europe,2015,13.6,15.8,171.2775,88,88,0.36,2.83,2.7,2.8,0,1,,11.6,92,87,2732,27,6.76,71.5
Mongolia,Asia,2015,16.6,19.4,212.841,99,99,0.01,3,2.2,2.3,0,1,,10.1,98,99,3875,26.1,8.35,69.1
Montenegro,Rest of Europe,2015,3.3,4,100.861,82,89,0.03,0.62,1.8,1.8,0,1,,11.3,94,89,6517,26.5,8.49,76.4
Morocco,Africa,2015,20.2,23.5,70.9135,99,99,0.03,34.66,6.4,6.2,0,1,,5,95,99,2875,25.9,0.39,75.7
Mozambique,Africa,2015,61.3,84,332.583,88,88,3.5,27.04,3.6,3.5,0,1,,3.5,64,80,590,22.7,1.22,57.2
Myanmar,Asia,2015,41,52.2,196.053,89,89,0.28,52.68,12.8,13,0,1,,4.9,78,89,1197,22.6,1.47,65.8
Namibia,Africa,2015,33.3,47.6,315.473,92,92,4.58,2.31,8.2,8.1,0,1,,6.7,64,92,4897,24.2,2.63,62.1
Nepal,Asia,2015,29.2,35.5,154.604,91,90,0.17,27.02,15.7,16.1,0,1,,4.7,65,91,902,22.4,0.24,69.5
Netherlands,European Union,2015,3.4,4,58.0775,94,95,0.04,16.94,1,0.9,1,0,,12.1,92,95,45193,25.5,8.3,81.5
New Zealand,Oceania,2015,4.6,5.5,67,92,92,0.03,4.61,0.4,0.3,1,0,,12.4,87,92,38631,28,8.68,81.5
Nicaragua,Central America and Caribbean,2015,16.6,19.4,148.4805,98,99,0.11,6.22,1.8,1.7,0,1,,6.5,83,98,2050,27.2,3.72,73.6
Niger,Africa,2015,51.8,93.8,249.086,65,83,0.06,20,9.6,9.4,0,1,,1.8,64,65,484,21.8,0.12,60.6
Nigeria,Africa,2015,79.3,126.4,356.2145,49,42,0.58,181.14,9.8,9.7,0,1,,6,64,49,2687,23.2,4.51,53.1
North Macedonia,Rest of Europe,2015,10,11.4,97.197,92,92,0.08,2.07,2.1,2.1,0,1,,9.6,97,91,4862,26.7,3.57,75.4
Norway,Rest of Europe,2015,2.2,2.7,53.897,88,95,0.04,5.19,0.8,0.7,1,0,,12.5,91,95,74356,26.6,5.97,82.3
Oman,Middle East,2015,9.6,11.2,89.1875,99,99,0.05,4.27,7.1,6.9,0,1,,9.5,98,99,18445,26.3,0.45,76.9
Pakistan,Asia,2015,62.1,76,160.141,72,72,0.13,199.43,19.2,19.6,0,1,,5.1,54,72,1357,23.9,0.04,66.6
Panama,Central America and Caribbean,2015,14.6,17,114.701,73,72,0.4,3.97,1.9,1.8,0,1,,9.9,92,73,13630,26.8,6.84,77.8
Papua New Guinea,Oceania,2015,40.2,51,225.4075,67,51,0.41,8.11,1.3,1.3,0,1,,4.3,65,73,2679,25.5,1.36,63.5
Paraguay,South America,2015,19,22.3,145.351,93,93,0.14,6.69,2,1.9,0,1,,8.5,72,93,5414,26.6,5.21,73.7
Peru,South America,2015,12.2,15.7,124.07,90,88,0.13,30.47,1.1,1.1,0,1,,9.1,63,90,6229,26.5,5.68,75.8
Philippines,Asia,2015,23.4,29.6,199.7365,75,79,0.1,102.11,1,9.7,0,1,,9.3,57,60,3001,23.1,4.52,70.6
Poland,European Union,2015,4.2,4.9,113.669,96,92,0.08,37.99,1.9,2,1,0,,12.1,94,98,12578,26.6,10.47,77.5
Portugal,European Union,2015,3,3.6,73.283,98,98,0.12,10.36,0.7,0.5,1,0,,9.1,95,98,19250,25.7,10.34,81.1
Qatar,Middle East,2015,6.7,7.8,56.2695,99,99,0.06,2.57,5.2,4.9,0,1,,9.8,91,99,63039,29.1,1.03,79.8
Romania,European Union,2015,7.7,9.2,128.603,90,89,0.04,19.82,2.5,2.7,1,0,,10.9,80,89,8969,26.7,9.45,74.9
Russian Federation,Rest of Europe,2015,6.6,8.2,223,97,97,0.08,144.1,2.3,2.3,0,1,,12,97,97,9313,26.2,8.06,71.2
Rwanda,Africa,2015,34.6,47.7,203.574,98,99,0.59,11.37,5.7,5.7,0,1,,4,87,98,751,22,6.31,67.5
Samoa,Oceania,2015,15.9,18.6,111.949,59,78,0.17,0.19,0.2,0.1,0,1,,10.3,55,66,4074,32.1,2.1,72.7
Sao Tome and Principe,Central America and Caribbean,2015,18.5,23.1,191.586,96,96,0.15,0.2,5.5,5.3,0,1,,5.6,76,96,1585,24.7,5,69.4
Saudi Arabia,Middle East,2015,7.8,9.1,87.974,98,97,0.13,31.72,7.8,7.6,0,1,,9.5,96,98,20628,28.4,0,74.7
Senegal,Africa,2015,34.7,49.4,190.0275,89,85,0.1,14.58,9.5,9.3,0,1,,2.9,54,89,1219,22.9,0.19,66.7
Serbia,Rest of Europe,2015,5.4,6.3,114.328,94,95,0.02,7.1,2,2,0,1,,11,86,95,5589,26,7.2,75.3
Seychelles,Africa,2015,12.7,14.8,151.6085,98,97,3.5,0.09,5.7,6,0,1,,9.5,98,97,15158,26.6,8.7,74.3
Sierra Leone,Africa,2015,95.1,140.2,397.8705,86,86,0.85,7.17,7.4,7.3,0,1,,3.4,60,86,588,22.7,3.06,52.9
Singapore,Asia,2015,2.2,2.7,50.9615,96,96,0.07,5.54,2.2,2.2,0,1,,11.5,90,96,55647,23.6,1.82,82.7
Slovak Republic,European Union,2015,5.1,6.2,110.515,96,96,0.02,5.42,1.2,1.2,1,0,,12.5,97,96,16342,26.4,10.27,76.6
Slovenia,European Union,2015,2.1,2.6,73.356,88,95,0.01,2.06,1.4,1.3,1,0,,12,96,95,20890,26.5,11.49,80.8
Solomon Islands,Oceania,2015,19.3,22.7,148.087,98,85,0.17,0.6,1.1,1.2,0,1,,5.4,65,98,2167,26.2,1.01,72.2
Somalia,Africa,2015,83.6,134.3,308.303,42,47,0.13,13.8,6.6,6.4,0,1,,2.1,64,42,386,23.1,0,55.9
South Africa,Africa,2015,28.6,36.3,351.3925,75,85,6.91,55.39,4.4,5.3,0,1,,10.1,59,75,6260,27.2,7.2,62.6
Spain,European Union,2015,2.7,3.3,57.9025,97,97,0.09,46.44,0.6,0.5,1,0,,9.7,94,97,25742,26,10.35,82.8
Sri Lanka,Asia,2015,7.5,8.7,109.1795,99,99,0.01,20.97,15.1,15,0,1,,10.9,99,99,3844,23,2.72,76.3
St. Lucia,Central America and Caribbean,2015,19.5,21.9,136.3935,99,99,0.4,0.18,4.3,4.3,0,1,,8.9,83,99,10094,29.8,9.23,75.6
St. Vincent and the Grenadines,Central America and Caribbean,2015,15.2,16.7,154.8235,98,97,0.4,0.11,3.5,3.4,0,1,,8.6,83,98,7207,27.1,7.41,72.1
Suriname,South America,2015,18.2,20.3,170.129,89,78,0.47,0.56,3.5,3.5,0,1,,8.4,21,89,9168,26.5,4.75,71.2
Sweden,European Union,2015,2.3,2.9,53.4415,67,98,0.08,9.8,1.5,1.4,1,0,,12.4,95,98,51545,26,7.13,82.2
Switzerland,Rest of Europe,2015,3.7,4.3,49.384,88,96,0.05,8.28,0.4,0.3,1,0,,13.4,87,97,84776,25.2,9.62,82.9
Syrian Arab Republic,Middle East,2015,25.6,41.6,178.1065,41,50,0.13,18,6.3,6.1,0,1,,5.1,47,41,979,28.2,0.23,69.9
Tajikistan,Asia,2015,32.6,37.5,134.715,96,96,0.11,8.45,3.6,3.7,0,1,,10.5,94,96,978,25.9,0.92,70.1
Tanzania,Africa,2015,40.9,58.1,239.667,98,96,2.01,51.48,6.7,6.5,0,1,,5.8,64,98,948,23.1,7.86,63.1
Thailand,Asia,2015,9.3,10.8,148.889,99,99,0.16,68.71,7.7,7.7,0,1,,7.6,95,99,5840,24.3,6.95,76.1
Timor-Leste,Oceania,2015,42.8,50.2,149.7365,76,75,0.1,1.2,1.9,11.1,0,1,,4.5,64,76,1333,21.2,0.41,68.5
Togo,Africa,2015,50.8,75.9,271.709,88,82,0.72,7.32,6.5,6.2,0,1,,4.7,64,88,571,23.5,1.36,59.9
Tonga,Oceania,2015,10.7,12.4,134.0135,78,96,0.17,0.1,0.1,0.1,0,1,,11.2,99,78,4336,32.1,0.23,70.5
Trinidad and Tobago,Central America and Caribbean,2015,17.3,19.3,168.7145,90,88,0.4,1.37,5.7,5.9,0,1,,10.8,79,96,18384,27.5,5.97,72.9
Tunisia,Africa,2015,14.8,17.2,91.343,98,98,0.04,11.18,6.5,6.4,0,1,,7,98,98,4095,26.3,1.5,75.9
Turkiye,Middle East,2015,11.1,13,105.824,97,97,0.08,78.53,4.9,4.8,0,1,,7.8,65,97,11006,27.8,1.32,76.5
Turkmenistan,Asia,2015,36.4,42.2,189.928,99,99,0.08,5.57,3.3,3.3,0,1,,9.8,99,99,6433,26.4,3.36,67.7
Uganda,Africa,2015,38.9,55.7,311.7215,78,85,2.08,38.23,5.6,5.6,0,1,,5.7,64,78,847,22.4,7.44,61.4
Ukraine,Rest of Europe,2015,8.1,9.5,202.8,22,51,0.23,45.15,2.3,2.4,0,1,,11.3,57,23,2125,26.5,6.04,71.2
United Arab Emirates,Middle East,2015,6.5,7.6,68.5765,99,99,0.13,9.26,5.3,5.1,0,1,,10.6,99,99,38663,28.4,2.12,77.3
United Kingdom,Rest of Europe,2015,3.8,4.5,69.3335,88,96,0.08,65.12,0.8,0.6,1,0,,12.8,86,96,45405,27.1,9.59,81
United States,North America,2015,5.8,6.8,107.377,92,93,0.12,320.74,0.8,0.6,1,0,,13.3,86,95,56763,28.8,8.78,78.7
Uruguay,South America,2015,7.6,8.9,105.685,95,95,0.24,3.41,1.5,1.4,0,1,,8.7,93,95,15614,27.3,6,77.4
Uzbekistan,Asia,2015,17.3,19.3,140.815,99,99,0.14,31.3,3,3.1,0,1,,11.4,99,99,2754,26.7,2.59,70.9
Vanuatu,Oceania,2015,23.6,28.2,131.2085,64,80,0.17,0.27,1.5,1.4,0,1,,6.8,65,64,2696,26.1,1.42,69.9
"Venezuela, RB",South America,2015,16.4,19.1,141.554,87,87,0.4,30.08,1.6,1.5,0,1,,10.1,83,87,17318,26.7,6.21,72.6
Vietnam,Asia,2015,17.4,21.8,124.547,97,97,0.12,92.68,14.2,14.5,0,1,,8,65,97,2582,21.7,2.98,75.1
"Yemen, Rep.",Middle East,2015,46.1,60.7,221.5195,69,63,0.03,26.5,13.6,13.4,0,1,,3,95,69,1602,23.7,0.03,66.1
Zambia,Africa,2015,46.9,67.7,302.822,90,90,4.48,15.88,6.3,6.1,0,1,,6.9,47,90,1338,22.5,3.5,61.7
Zimbabwe,Africa,2015,42.1,61.3,368.141,87,88,3.86,13.81,5.6,5.5,0,1,,8.2,64,87,1445,23.8,3.84,59.5
